ID,PROVNO,KABKOTNO,KODE2010,PROVINSI,KABKOT,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
1,35,1,3501,JAWA TIMUR,PACITAN,71.05,26.68,100,9.34,21.27,97.77,56.27,0.65,2.83,2.29,7.96,37.61,16.68
2,35,2,3502,JAWA TIMUR,PONOROGO,72.08,38.47,98.02,5.34,30.91,91.87,53.31,0,7.49,1.43,6.63,62.92,11.91
3,35,3,3503,JAWA TIMUR,TRENGGALEK,72.91,31.02,100,7.98,28.37,84.06,55.78,0.27,4.72,0.11,3.82,43.61,13.39
4,35,4,3504,JAWA TIMUR,TULUNGAGUNG,73.28,29.38,95.17,12,44.16,95.91,54.18,0,5.77,1.94,7.71,81.13,8.57
5,35,5,3505,JAWA TIMUR,BLITAR,72.8,30.11,100,11.69,33.37,82.93,54.59,0,5.35,0.67,7.06,75.27,9.97
6,35,6,3506,JAWA TIMUR,KEDIRI,72.14,28.58,97.66,12.62,40.45,80.98,54.99,0.81,12.42,2.57,3.99,77.33,12.91
7,35,7,3507,JAWA TIMUR,MALANG,71.98,42.03,100,17.76,32.04,89.88,54.48,0.2,15.53,1.51,5.43,84.51,11.53
8,35,8,3508,JAWA TIMUR,LUMAJANG,69.27,38.33,100,17.38,44.55,73.44,60.54,1.86,9.64,1.08,6.18,56.7,11.52
9,35,9,3509,JAWA TIMUR,JEMBER,68.2,43.88,100,18.16,39.86,37.71,58.04,1.18,9.92,1.57,12.67,60.53,11.22
10,35,10,3510,JAWA TIMUR,BANYUWANGI,70.03,46.89,100,23.94,35.23,71.92,53.84,0.4,6.76,1.83,9.62,56.42,9.17
11,35,11,3511,JAWA TIMUR,BONDOWOSO,65.73,60.18,100,12.13,30.65,30.01,61.65,1.49,6.72,1.13,22.68,60.77,14.96
12,35,12,3512,JAWA TIMUR,SITUBONDO,68.28,55.7,100,11.46,37.81,34.14,59.25,0.84,8.57,1.04,15.47,70.77,13.63
13,35,13,3513,JAWA TIMUR,PROBOLINGGO,66.15,50.1,95.53,11.98,34.65,45.57,56.73,2.23,6.53,0.64,8.22,65.55,20.82
14,35,14,3514,JAWA TIMUR,PASURUAN,69.83,43.45,100,17.07,39.94,52.48,55.99,0.51,13.07,3.08,2.58,79.7,10.72
15,35,15,3515,JAWA TIMUR,SIDOARJO,73.63,11.5,100,29.5,43.46,81.62,48.38,0,16.41,15.23,0.48,96.8,6.44
16,35,16,3516,JAWA TIMUR,MOJOKERTO,71.96,25.7,100,21,40.16,68.69,54.8,0.65,14.41,2.77,4.15,68.58,10.57
17,35,17,3517,JAWA TIMUR,JOMBANG,71.67,32.53,100,15.03,41.97,72.01,55.01,1.27,8.52,1.99,4.28,75.33,10.79
18,35,18,3518,JAWA TIMUR,NGANJUK,70.97,27.94,100,10.62,46.98,90.65,55.26,0.81,8.3,1.36,2.01,78.07,12.69
19,35,19,3519,JAWA TIMUR,MADIUN,70.36,38.43,100,11.38,35.24,83.44,53.73,0.08,1.76,0.84,2.92,79.75,12.54
20,35,20,3520,JAWA TIMUR,MAGETAN,72.01,30.93,100,8.26,35.4,95.72,53.4,0.54,3.62,1.18,1.02,94.94,11.35
21,35,21,3521,JAWA TIMUR,NGAWI,71.53,34.74,100,17.95,29.37,84.28,58.33,0.68,0,0.59,7.01,76.27,15.61
22,35,22,3522,JAWA TIMUR,BOJONEGORO,70.51,32.28,100,13.17,33.96,77.46,56.07,0.35,2.44,0.42,8.58,64.09,15.71
23,35,23,3523,JAWA TIMUR,TUBAN,70.55,38.91,100,13.62,29.89,61.52,57.47,0.48,8.5,1.01,5.98,88.2,17.08
24,35,24,3524,JAWA TIMUR,LAMONGAN,71.67,35.02,100,16.34,33.49,80.13,51.32,0,9.16,0.81,5.58,83.85,15.38
25,35,25,3525,JAWA TIMUR,GRESIK,72.3,11.21,96.94,17.88,46.91,88.5,51.45,1.09,12.47,7.58,1.71,94.23,13.63
26,35,26,3526,JAWA TIMUR,BANGKALAN,69.72,43.29,100,6.37,34.02,86.2,60.78,0.7,28.58,1.03,7.62,66.7,22.57
27,35,27,3527,JAWA TIMUR,SAMPANG,67.58,56.08,100,4.43,29.06,75.06,59.71,0.13,1.67,1,10.75,64.27,25.69
28,35,28,3528,JAWA TIMUR,PAMEKASAN,66.86,48.66,98.52,4.8,36.19,87.85,61.12,0.53,20.72,0.61,21.32,70.14,17.41
29,35,29,3529,JAWA TIMUR,SUMENEP,70.42,51.79,100,7.19,26.69,80.54,58.74,15.09,2.98,0.58,4.5,82.39,20.2
71,35,71,3571,JAWA TIMUR,KEDIRI,73.62,12.84,100,18.29,48.43,79.98,47.87,0.07,45.12,12.42,0.52,48.2,8.51
72,35,72,3572,JAWA TIMUR,BLITAR,73,15.5,100,30.38,46.51,93.19,46.79,0.53,10.41,8.76,0.99,59.45,7.29
73,35,73,3573,JAWA TIMUR,MALANG,72.6,18.69,100,35.26,46.34,88.96,46.84,0.2,59.81,19.53,0.97,66.11,4.6
74,35,74,3574,JAWA TIMUR,PROBOLINGGO,69.72,24.33,100,25.66,40.1,75.43,48,0,26.38,6.86,1.83,61.68,8.17
75,35,75,3575,JAWA TIMUR,PASURUAN,70.84,27.59,100,23.94,44.4,80.12,52.35,2.39,38.04,7.03,0.63,90.46,7.47
76,35,76,3576,JAWA TIMUR,MOJOKERTO,72.69,12.98,100,33.92,34.25,79.14,47.24,0,32.98,11.28,3.46,65.59,6.16
77,35,77,3577,JAWA TIMUR,MADIUN,72.41,14.2,100,28.19,40.69,94.98,43.63,0,5.55,14.84,0.13,100,4.89
78,35,78,3578,JAWA TIMUR,SURABAYA,73.85,10.87,100,24.63,43.29,87.73,43.79,0.38,71.14,23.91,0.55,100,5.82
